seconds,kind,tolerance_s,note
1.70,none,0.25,"bouncing the ball before the serve, misread as a contact"
2.03,none,0.25,"bouncing the ball before the serve, misread as a contact"
2.44,none,0.25,"bouncing the ball before the serve, misread as a bounce"
4.57,none,0.25,"something random over the net, not a bounce"
27.10,contact,0.35,"the serve - currently missing entirely (recall gap)"
27.48,none,0.25,"something around the net, not a contact"
28.05,bounce,0.35,"the faulted serve's landing - currently missing entirely (recall gap)"
29.35,none,0.25,"bouncing the ball before the second serve, misread as a bounce"
30.32,none,0.25,"bouncing the ball before the second serve, misread as a bounce"
31.96,none,0.25,"bouncing the ball before the second serve, misread as a bounce"
32.86,none,0.25,"bouncing the ball before the second serve, misread as a contact"
33.27,none,0.25,"bouncing the ball before the second serve, misread as a contact"
33.74,none,0.25,"bouncing the ball before the second serve, misread as a contact"
36.38,none,0.25,"bouncing the ball before the second serve, misread as a contact"
36.93,none,0.25,"bouncing the ball before the second serve, misread as a contact"
37.43,none,0.25,"bouncing the ball before the second serve, misread as a contact"
38.82,contact,0.25,"the second serve itself - already correctly read as a contact (~8m from the pre-serve bounce cluster, same signature as the real serve in rally 1)"
94.26,none,0.25,"something random over the net, not a bounce"
94.50,bounce,0.35,"a real bounce here - currently missing entirely (recall gap)"
95.70,bounce,0.35,"bounce before the 95.96s contact - currently missing entirely (recall gap)"
96.92,none,0.25,"something random, not a bounce"
97.12,bounce,0.25,"should be a bounce, currently read as a contact"
124.00,contact,0.35,"the fault serve, hit by the closest player - currently missing entirely (recall gap)"
125.18,none,0.25,"ball deflecting off the net cord, not a real court bounce"
141.40,contact,0.35,"the second serve - currently missing entirely (recall gap); should also carry the 'serve' stroke label"
142.90,bounce,0.35,"the second serve's landing, before the 143.26s return - currently missing entirely (recall gap)"
143.26,contact,0.25,"the return of serve - already correctly read as a contact"
147.00,contact,0.35,"currently missing after the 146.74s bounce (recall gap)"
147.10,none,0.20,"shouldn't be anything"
